"ID";"RegioS";"Perioden";"TotaleBevolking_1"
"3118";"GM0005";"2023JJ00";""
"3119";"GM0005";"2024JJ00";""
"3145";"GM0888";"2020JJ00";"   15865"
"3146";"GM0888";"2021JJ00";"   15875"
"3147";"GM0888";"2022JJ00";"   15817"
"3148";"GM0888";"2023JJ00";"   16132"
"3149";"GM0888";"2024JJ00";"   16215"
"3175";"GM0746";"2020JJ00";""
"3176";"GM0746";"2021JJ00";""
"3177";"GM0746";"2022JJ00";""
"3178";"GM0746";"2023JJ00";""
"3179";"GM0746";"2024JJ00";""
"3205";"GM1954";"2020JJ00";"   35938"
"3206";"GM1954";"2021JJ00";"   36065"
"3207";"GM1954";"2022JJ00";"   35922"
"3208";"GM1954";"2023JJ00";"   35966"
"3209";"GM1954";"2024JJ00";"   35896"
"3235";"GM0370";"2020JJ00";"   10022"
"3236";"GM0370";"2021JJ00";"   10110"
"3237";"GM0370";"2022JJ00";""
"3238";"GM0370";"2023JJ00";""
"3239";"GM0370";"2024JJ00";""
"3265";"GM0889";"2020JJ00";"   13482"
"3266";"GM0889";"2021JJ00";"   13450"
"3267";"GM0889";"2022JJ00";"   13408"
"3268";"GM0889";"2023JJ00";"   13449"
"3269";"GM0889";"2024JJ00";"   13394"
"3295";"GM0107";"2020JJ00";""
"3296";"GM0107";"2021JJ00";""
"3297";"GM0107";"2022JJ00";""
"3298";"GM0107";"2023JJ00";""
"3299";"GM0107";"2024JJ00";""
"3325";"GM0890";"2020JJ00";""
"3326";"GM0890";"2021JJ00";""
"3327";"GM0890";"2022JJ00";""
"3328";"GM0890";"2023JJ00";""
"3329";"GM0890";"2024JJ00";""
"3355";"GM0007";"2020JJ00";""
"3356";"GM0007";"2021JJ00";""
"3357";"GM0007";"2022JJ00";""
"3358";"GM0007";"2023JJ00";""
"3359";"GM0007";"2024JJ00";""
"3385";"GM0206";"2020JJ00";""
"3386";"GM0206";"2021JJ00";""
"3387";"GM0206";"2022JJ00";""
"3388";"GM0206";"2023JJ00";""
"3389";"GM0206";"2024JJ00";""
"3415";"GM0372";"2020JJ00";""
"3416";"GM0372";"2021JJ00";""
"3417";"GM0372";"2022JJ00";""
"3418";"GM0372";"2023JJ00";""
"3419";"GM0372";"2024JJ00";""
"3445";"GM1945";"2020JJ00";"   34992"
"3446";"GM1945";"2021JJ00";"   35010"
"3447";"GM1945";"2022JJ00";"   34951"
"3448";"GM1945";"2023JJ00";"   35420"
"3449";"GM1945";"2024JJ00";"   35474"
"3475";"GM0491";"2020JJ00";""
"3476";"GM0491";"2021JJ00";""
"3477";"GM0491";"2022JJ00";""
"3478";"GM0491";"2023JJ00";""
"3479";"GM0491";"2024JJ00";""
"3505";"GM1724";"2020JJ00";"   18635"
"3506";"GM1724";"2021JJ00";"   18754"
"3507";"GM1724";"2022JJ00";"   18879"
"3508";"GM1724";"2023JJ00";"   19092"
"3509";"GM1724";"2024JJ00";"   19196"
"3535";"GM0893";"2020JJ00";"   13085"
"3536";"GM0893";"2021JJ00";"   13108"
"3537";"GM0893";"2022JJ00";"   13106"
"3538";"GM0893";"2023JJ00";"   13119"
"3539";"GM0893";"2024JJ00";"   13154"
"3565";"GM0373";"2020JJ00";"   29839"
"3566";"GM0373";"2021JJ00";"   29715"
"3567";"GM0373";"2022JJ00";"   29723"
"3568";"GM0373";"2023JJ00";"   30138"
